theme,score,stance,news_count,red_count,policy_count,market_count,kpl_count,keywords,sectors,candidates,kpl_stocks,confirm_signal,give_up_signal,position_plan
半导体/国产替代,68,重点观察,7,5,1,1,0,GPU、半导体、存储、材料、芯片、设备,半导体设备、材料、先进封装、存储芯片、国产替代,中芯国际、北方华创、中微公司、华海清科、拓荆科技、寒武纪、兆易创新,,半导体/国产替代前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,半导体/国产替代核心低开低走、冲高回落，或消息强但板块无量无扩散。,强反馈可小仓试错，确认扩散后再加；弱反馈不追。
AI算力/数据中心,58,重点观察,7,4,1,1,0,AI、人工智能、光模块、光纤、光通信、数据中心、服务器、液冷、算力,算力、光模块、服务器、液冷、电力配套、数据中心,中际旭创、新易盛、天孚通信、工业富联、浪潮信息、润泽科技、曙光数创,,AI算力/数据中心前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,AI算力/数据中心核心低开低走、冲高回落，或消息强但板块无量无扩散。,强反馈可小仓试错，确认扩散后再加；弱反馈不追。
6G/通信/卫星互联网,20,积极跟踪,3,2,0,1,0,通信,6G、通信设备、卫星互联网、商业航天、射频器件,中兴通讯、中国卫通、上海瀚讯、华力创通、铖昌科技、信维通信、通宇通讯,,6G/通信/卫星互联网前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,6G/通信/卫星互联网核心低开低走、冲高回落，或消息强但板块无量无扩散。,只做前排或容量核心，等待分歧承接。
能源/煤炭/油气,13,积极跟踪,3,1,0,0,0,中东、天然气、石油,油气、煤炭、化工、航运、能源安全,中国石油、中国海油、中国石化、陕西煤业、中国神华、中远海能、招商轮船,,能源/煤炭/油气前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,能源/煤炭/油气核心低开低走、冲高回落，或消息强但板块无量无扩散。,只做前排或容量核心，等待分歧承接。
消费/旅游/短剧,2,观察为主,1,0,0,0,0,消费,消费、旅游酒店、传媒游戏、短剧、零售,中国中免、锦江酒店、王府井、岩山科技、中文在线、恺英网络,,消费/旅游/短剧前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,消费/旅游/短剧核心低开低走、冲高回落，或消息强但板块无量无扩散。,加入观察池，不作为首选进攻方向。
机器人/具身智能,2,观察为主,1,0,0,0,0,机器人,人形机器人、减速器、伺服系统、传感器、执行器,拓普集团、三花智控、鸣志电器、绿的谐波、中大力德、双环传动、柯力传感,,机器人/具身智能前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,机器人/具身智能核心低开低走、冲高回落，或消息强但板块无量无扩散。,加入观察池，不作为首选进攻方向。
