metric,value,source,note
两市成交额,31137.66,sina:stock_zh_a_spot,亿元
上涨家数,1723,sina:stock_zh_a_spot,
下跌家数,3733,sina:stock_zh_a_spot,
平盘家数,71,sina:stock_zh_a_spot,
全A股票数,5527,sina:stock_zh_a_spot,
全A行情降级状态,已使用新浪备用源,derived:spot_fallback,
涨停数,86,eastmoney:stock_zt_pool_em,
连板家数,19,eastmoney:stock_zt_pool_em,
最高连板,3,eastmoney:stock_zt_pool_em,
涨停封板资金,107.87,eastmoney:stock_zt_pool_em,亿元
炸板数,28,eastmoney:stock_zt_pool_zbgc_em,
跌停数,1,eastmoney:stock_zt_pool_dtgc_em,
炸板率,24.56,derived:eastmoney_limit_pools,%
封板率,75.44,derived:eastmoney_limit_pools,%
涨跌停强弱比,86.0,derived:eastmoney_limit_pools,
近N日样本数,5,derived:market_breadth_history,
近几日涨停均值,105.0,derived:market_breadth_history,
近几日炸板率均值,29.69,derived:market_breadth_history,%
近几日跌停均值,14.25,derived:market_breadth_history,
近几日最高连板均值,3.5,derived:market_breadth_history,
近几日涨跌停强弱比均值,18.28,derived:market_breadth_history,
涨停趋势差,-19.0,derived:market_breadth_history,
炸板率趋势差,-5.13,derived:market_breadth_history,%
跌停趋势差,-13.25,derived:market_breadth_history,
连板高度趋势差,-0.5,derived:market_breadth_history,
涨跌停强弱比趋势差,67.72,derived:market_breadth_history,
