metric,value,source,note
涨停数,69,eastmoney:stock_zt_pool_em,
连板家数,11,eastmoney:stock_zt_pool_em,
最高连板,3,eastmoney:stock_zt_pool_em,
涨停封板资金,73.69,eastmoney:stock_zt_pool_em,亿元
炸板数,30,eastmoney:stock_zt_pool_zbgc_em,
跌停数,32,eastmoney:stock_zt_pool_dtgc_em,
炸板率,30.3,derived:eastmoney_limit_pools,%
封板率,69.7,derived:eastmoney_limit_pools,%
涨跌停强弱比,2.16,derived:eastmoney_limit_pools,
近N日样本数,5,derived:market_breadth_history,
近几日涨停均值,82.75,derived:market_breadth_history,
近几日炸板率均值,23.3,derived:market_breadth_history,%
近几日跌停均值,20.0,derived:market_breadth_history,
近几日最高连板均值,4.5,derived:market_breadth_history,
近几日涨跌停强弱比均值,6.39,derived:market_breadth_history,
涨停趋势差,-13.75,derived:market_breadth_history,
炸板率趋势差,7.0,derived:market_breadth_history,%
跌停趋势差,12.0,derived:market_breadth_history,
连板高度趋势差,-1.5,derived:market_breadth_history,
涨跌停强弱比趋势差,-4.23,derived:market_breadth_history,
