date,trade_date,limit_up_count,failed_limit_up_count,limit_down_count,seal_rate,failed_limit_up_rate,limit_up_down_ratio,limit_up_seal_amount_yi,double_limit_up_count,highest_limit_streak
2026-05-29,20260529,49,38,50,56.32,43.68,0.98,33.5,9,5
2026-06-01,20260601,120,41,21,74.53,25.47,5.71,88.49,11,4
2026-06-02,20260602,67,21,16,76.14,23.86,4.19,75.76,16,3
2026-06-03,20260603,66,51,11,56.41,43.59,6.0,58.25,11,3
2026-06-04,20260604,80,19,7,80.81,19.19,11.43,81.13,10,4
