metric,value,source,note
涨停数,33,eastmoney:stock_zt_pool_em,
连板家数,7,eastmoney:stock_zt_pool_em,
最高连板,2,eastmoney:stock_zt_pool_em,
涨停封板资金,130.43,eastmoney:stock_zt_pool_em,亿元
炸板数,15,eastmoney:stock_zt_pool_zbgc_em,
跌停数,3,eastmoney:stock_zt_pool_dtgc_em,
炸板率,31.25,derived:eastmoney_limit_pools,%
封板率,68.75,derived:eastmoney_limit_pools,%
涨跌停强弱比,11.0,derived:eastmoney_limit_pools,
大盘主力净流入,-578.76,eastmoney:stock_market_fund_flow,亿元
近N日样本数,5,derived:market_breadth_history,
近几日涨停均值,83.25,derived:market_breadth_history,
近几日炸板率均值,28.03,derived:market_breadth_history,%
近几日跌停均值,13.75,derived:market_breadth_history,
近几日最高连板均值,3.5,derived:market_breadth_history,
近几日涨跌停强弱比均值,6.83,derived:market_breadth_history,
涨停趋势差,-49.25,derived:market_breadth_history,
炸板率趋势差,2.58,derived:market_breadth_history,%
跌停趋势差,-10.75,derived:market_breadth_history,
连板高度趋势差,-0.5,derived:market_breadth_history,
涨跌停强弱比趋势差,4.5,derived:market_breadth_history,
