metric,value,source,note
涨停数,145,eastmoney:stock_zt_pool_em,
连板家数,11,eastmoney:stock_zt_pool_em,
最高连板,3,eastmoney:stock_zt_pool_em,
涨停封板资金,125.58,eastmoney:stock_zt_pool_em,亿元
炸板数,43,eastmoney:stock_zt_pool_zbgc_em,
跌停数,3,eastmoney:stock_zt_pool_dtgc_em,
炸板率,22.87,derived:eastmoney_limit_pools,%
封板率,77.13,derived:eastmoney_limit_pools,%
涨跌停强弱比,48.33,derived:eastmoney_limit_pools,
近N日样本数,5,derived:market_breadth_history,
近几日涨停均值,89.75,derived:market_breadth_history,
近几日炸板率均值,27.01,derived:market_breadth_history,%
近几日跌停均值,20.25,derived:market_breadth_history,
近几日最高连板均值,3.5,derived:market_breadth_history,
近几日涨跌停强弱比均值,6.34,derived:market_breadth_history,
涨停趋势差,55.25,derived:market_breadth_history,
炸板率趋势差,-4.14,derived:market_breadth_history,%
跌停趋势差,-17.25,derived:market_breadth_history,
连板高度趋势差,-0.5,derived:market_breadth_history,
涨跌停强弱比趋势差,41.99,derived:market_breadth_history,
