theme,total_score,stance,flow_score,map_score,core_score,timing_score,news_count,red_count,kpl_count,failed_count,lhb_net_buy,core_names,lhb_stocks,confirm_signal,give_up_signal
AI算力/数据中心,7.0,放弃,0.0,0.0,0.0,7.0,0,0,0,0,0,,,AI算力/数据中心前排竞价强于板块，容量核心放量不破分时均线。,AI算力/数据中心核心低开低走、冲高回落，或消息强但板块无量无扩散。
6G/通信/卫星互联网,7.0,放弃,0.0,0.0,0.0,7.0,0,0,0,0,0,,,6G/通信/卫星互联网前排竞价强于板块，容量核心放量不破分时均线。,6G/通信/卫星互联网核心低开低走、冲高回落，或消息强但板块无量无扩散。
半导体/国产替代,7.0,放弃,0.0,0.0,0.0,7.0,0,0,0,0,0,,,半导体/国产替代前排竞价强于板块，容量核心放量不破分时均线。,半导体/国产替代核心低开低走、冲高回落，或消息强但板块无量无扩散。
能源/煤炭/油气,7.0,放弃,0.0,0.0,0.0,7.0,0,0,0,0,0,,,能源/煤炭/油气前排竞价强于板块，容量核心放量不破分时均线。,能源/煤炭/油气核心低开低走、冲高回落，或消息强但板块无量无扩散。
机器人/具身智能,7.0,放弃,0.0,0.0,0.0,7.0,0,0,0,0,0,,,机器人/具身智能前排竞价强于板块，容量核心放量不破分时均线。,机器人/具身智能核心低开低走、冲高回落，或消息强但板块无量无扩散。
消费/旅游/短剧,7.0,放弃,0.0,0.0,0.0,7.0,0,0,0,0,0,,,消费/旅游/短剧前排竞价强于板块，容量核心放量不破分时均线。,消费/旅游/短剧核心低开低走、冲高回落，或消息强但板块无量无扩散。
