股票代码,股票简称,涨跌幅,换手率,最新价,前期高点,前期高点日期
603358,华达科技,4.12,4.64,39.67,39.4,2026-06-18
603398,*ST沐邦,2.06,1.56,14.88,14.79,2026-06-01
603407,长裕集团,9.99,30.16,82.32,74.84,2026-06-22
603456,九洲药业,2.17,1.98,13.19,13.12,2026-06-18
603499,翔港科技,1.97,3.57,15.04,15.0,2026-05-25
603519,立霸股份,2.79,3.24,15.47,15.05,2026-06-22
603588,高能环境,3.58,14.86,18.24,17.61,2026-06-22
603595,ST东尼,5.0,0.11,31.94,30.42,2026-06-22
603650,彤程新材,1.5,6.29,70.2,69.16,2026-06-22
603660,苏州科达,1.67,7.61,13.42,13.2,2026-06-22
603663,三祥新材,5.02,11.47,101.07,96.24,2026-06-22
603668,天马科技,0.16,2.96,12.26,12.24,2026-06-22
603669,灵康药业,10.1,5.19,5.56,5.05,2026-06-22
603690,至纯科技,1.65,11.67,31.34,30.9,2026-05-25
603713,密尔克卫,0.76,2.02,62.52,62.05,2026-06-22
603727,博迈科,7.92,4.75,18.8,17.42,2026-06-22
603738,泰晶科技,2.51,13.86,63.25,61.7,2026-06-22
603757,大元泵业,10.01,4.03,67.84,61.67,2026-06-22
603773,沃格光电,0.08,13.55,172.15,172.02,2026-06-22
603823,百合花,1.6,5.39,52.2,51.38,2026-06-22
603856,东宏股份,5.82,4.92,12.92,12.83,2026-06-01
603906,龙蟠科技,4.89,14.56,27.46,26.81,2026-05-25
603938,三孚股份,10.0,10.04,65.12,59.98,2026-06-10
603949,雪龙集团,4.29,3.75,17.28,17.11,2026-05-26
603950,长源东谷,4.39,4.61,75.56,75.49,2026-05-28
603980,吉华集团,5.5,9.09,6.71,6.36,2026-06-22
603995,甬金股份,1.98,4.85,24.73,24.25,2026-06-22
605100,华丰股份,2.01,4.11,41.53,40.71,2026-06-22
605111,新洁能,7.16,9.05,79.91,74.57,2026-06-22
605128,上海沿浦,0.19,1.59,26.17,26.12,2026-06-22
605178,时空科技,3.48,5.21,72.9,70.45,2026-06-22
605186,健麾信息,1.09,5.62,34.45,34.33,2026-06-11
605288,凯迪股份,6.24,3.78,87.66,82.51,2026-06-22
605305,中际联合,5.96,6.29,42.84,40.98,2026-05-25
605377,华旺科技,10.0,2.86,9.24,9.16,2026-06-01
605389,长龄液压,0.97,1.44,94.52,93.61,2026-06-22
