序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,source
63,603435,嘉德利,2026-06-15,普通席位买入，成功率47.39%,66.6,9.3417,-38542832.65,63408877.53,101951710.18,165360587.71,585659707,-6.581096870644,28.234926482658,25.3521,2376790297.2,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,,akshare:stock_lhb_detail_em
64,603459,红板科技,2026-06-15,上海资金买入，成功率47.53%,80.91,6.9248,37367692.44,206137757.75,168770065.31,374907823.06,1294652077,2.886311550713,28.958191140337,20.5478,6396085830.78,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,,akshare:stock_lhb_detail_em
65,603499,翔港科技,2026-06-15,买一主买，成功率53.86%,19.86,10.0277,21404678.0,44712710.0,23308032.0,68020742.0,158205151,13.529697272626,42.995276430664,2.7109,6009524585.4,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前五只证券,,,,,akshare:stock_lhb_detail_em
66,603681,永冠新材,2026-06-15,上海资金买入，成功率45.20%,27.39,10.0,-65847553.0,255897616.12,321745169.12,577642785.24,1811403060,-3.635168475425,31.889246407699,12.967,6511748723.7,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
67,603738,泰晶科技,2026-06-15,买一主买，成功率46.99%,56.91,9.9923,66901968.91,594172658.84,527270689.93,1121443348.77,4750247556,1.408389102279,23.608103273555,22.4808,21960857169.72,有价格涨跌幅限制的日换手率达到20%的前五只证券,,,,,akshare:stock_lhb_detail_em
68,603738,泰晶科技,2026-06-15,1家机构买入，成功率47.19%,56.91,9.9923,190472204.59,1105883423.56,915411218.97,2021294642.53,8641660614,2.204115772395,23.390118321187,22.4808,21960857169.72,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
69,603773,沃格光电,2026-06-15,买一主买，成功率45.83%,137.3,5.7781,81889131.05,679101978.05,597212847.0,1276314825.05,5040587220,1.624595061565,25.32075667664,16.9085,30848376310.9,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
70,603993,洛阳钼业,2026-06-15,上海资金买入，成功率47.84%,20.92,9.4715,786369971.3,3714727192.77,2928357221.47,6643084414.24,28140493033,2.794442763948,23.606851544675,4.1883,365280818321.92,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,,,,,akshare:stock_lhb_detail_em
71,605081,退市太和,2026-06-15,普通席位买入，成功率44.54%,0.37,0.0,157709.28,657282.0,499572.72,1156854.72,1102269,14.307694401276,104.952123302025,2.5897,41901416.64,退市整理的证券,,,,,akshare:stock_lhb_detail_em
72,605177,东亚药业,2026-06-15,普通席位卖出，成功率44.50%,20.09,-2.2384,-16552890.0,26994779.0,43547669.0,70542448.0,177235485,-9.339489775425,39.801537485566,7.6197,2283274988.26,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
73,605186,健麾信息,2026-06-15,卖一主卖，成功率46.46%,31.8,-7.2075,37449778.0,124421252.0,86971474.0,211392726.0,669673981,5.59224026355,31.566513258337,14.7601,4324800000.0,有价格涨跌幅限制的日价格振幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
74,688090,瑞松科技,2026-06-15,普通席位买入，成功率46.78%,123.13,19.9981,212708754.25,388192067.96,175483313.71,563675381.67,1515282700,14.037562380274,37.199354395718,10.4067,15067425980.32,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
75,688167,炬光科技,2026-06-15,买一主买，成功率48.04%,398.26,20.0012,-152846888.82,1567484764.86,1720331653.68,3287816418.54,11858252200,-1.288949553797,27.725978188759,8.6661,51829146590.46,有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券,,,,,akshare:stock_lhb_detail_em
76,688167,炬光科技,2026-06-15,买一主买，成功率48.53%,398.26,20.0012,85713874.8199999,700165426.28,614451551.46,1314616977.74,4239342300,2.021867279271,31.009927595137,8.6661,51829146590.46,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
77,688170,德龙激光,2026-06-15,上海资金买入，成功率47.46%,81.24,20.0,129270968.32,209116395.23,79845426.91,288961822.14,949051900,13.621064171517,30.447420435068,11.9719,8396966400.0,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
78,688398,赛特新材,2026-06-15,普通席位卖出，成功率48.77%,24.51,-16.5191,-7278583.63,71123313.9,78401897.53,149525211.43,279347500,-2.605566053034,53.526597313382,6.5517,4113126164.55,有价格涨跌幅限制的日收盘价格跌幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
79,688603,天承科技,2026-06-15,买一主买，成功率47.80%,185.33,20.0013,-111245038.26,338725689.34,449970727.6,788696416.94,1619466700,-6.86923900689,48.70099625636,18.9262,8788646425.31,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
80,688757,胜科纳米,2026-06-15,买一主买，成功率49.03%,50.76,20.0,-22768383.33,132589473.04,155357856.37,287947329.41,712039300,-3.197630149066,40.439808506356,8.0109,9198744813.72,有价格涨跌幅限制的日收盘价格涨幅达到15%的前五只证券,,,,,akshare:stock_lhb_detail_em
81,920083,金戈新材,2026-06-15,1家机构卖出，成功率39.74%,39.38,-1.0553,9410116.75,43525919.33,34115802.58,77641721.91,317973300,2.95940468901,24.417685984955,41.096,791120256.96,当日换手率达到20%的前5只股票,,,,,akshare:stock_lhb_detail_em
82,920088,科力股份,2026-06-15,1家机构卖出，成功率16.05%,42.63,-7.2858,-39483761.66,23580110.49,63063872.15,86643982.64,305890000,-12.907830154631,28.325209271307,22.2762,1388298384.9,当日换手率达到20%的前5只股票,,,,,akshare:stock_lhb_detail_em
83,920161,龙辰科技,2026-06-15,1家机构买入，成功率39.80%,39.8,9.0411,9971626.34999999,57417530.37,47445904.02,104863434.39,438341500,2.274853362048,23.922771261676,31.1677,1468573832.0,当日换手率达到20%的前5只股票,,,,,akshare:stock_lhb_detail_em
84,920206,彩客科技,2026-06-15,1家机构买入，成功率43.16%,61.65,0.7353,16213302.0,35884761.32,19671459.32,55556220.64,216491700,7.489110206073,25.662055700057,25.2346,878872042.8,当日换手率达到20%的前5只股票,,,,,akshare:stock_lhb_detail_em
85,920725,惠丰钻石,2026-06-15,1家机构买入，成功率30.90%,71.94,5.0986,40306568.91,98070394.71,57763825.8,155834220.51,650974300,6.191729675042,23.938613323137,23.0744,2990537167.2,当日换手率达到20%的前5只股票,,,,,akshare:stock_lhb_detail_em
