序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,tag,source,涨停价,涨速,振幅
139,002364,中恒电气,9.997849464416504,51.16,1984713728,28552588361.6,28831983353.6,7.168242454528809,1432480.0,142012,145627,4,1/1,1.0,其他电源,涨停,akshare:stock_zt_pool_em,,,
140,301362,民爆光电,19.99786949157715,225.26,1283169136,9223197715.76,32875497715.76,15.19339370727539,4627290.0,144109,145033,3,1/1,1.0,照明设备,涨停,akshare:stock_zt_pool_em,,,
141,600578,京能电力,10.013350486755371,8.24,2175327312,55163677163.6,55163676446.72,4.128622055053711,55651312.0,144127,144303,1,1/1,1.0,电力,涨停,akshare:stock_zt_pool_em,,,
142,002335,科华数据,10.01121711730957,39.23,1608597696,25881391574.859997,29318554308.96,6.3870768547058105,11516947.0,144306,145624,5,1/1,1.0,其他电源,涨停,akshare:stock_zt_pool_em,,,
143,603083,剑桥科技,10.0005464553833,201.29,5304046080,55473183601.17,74125116574.72,9.846816062927246,147890983.0,144524,144524,0,1/1,1.0,通信设备,涨停,akshare:stock_zt_pool_em,,,
144,002730,电光科技,10.010725975036621,30.77,462650608,10647339407.6,11141198153.76,4.466695308685303,138465.0,144939,145221,2,1/1,1.0,专用设备,涨停,akshare:stock_zt_pool_em,,,
145,603950,长源东谷,9.993282318115234,65.49,476194832,21193009332.0,21227326092.0,2.3125410079956055,22848151.0,145528,145528,0,1/1,1.0,汽车零部,涨停,akshare:stock_zt_pool_em,,,
1,002915,中欣氟材,1.9408503770828247,22.06,747529968,6354915197.5,7396129615.679999,11.3521728515625,,092500,,1,0/0,,化学制品,炸板,akshare:stock_zt_pool_zbgc_em,23.8,0.0,8.687615394592285
2,002742,冀衡医药,2.6378896236419678,4.28,236168181,2242549326.44,2927956765.44,10.144886016845703,,093218,,1,2/1,,化学制药,炸板,akshare:stock_zt_pool_zbgc_em,4.59,-1.1547343730926514,9.112709999084473
3,600798,宁波海运,7.462686538696289,3.6,294714000,4343523123.6,4343523148.8,6.727240085601807,,093412,,1,0/0,,航运港口,炸板,akshare:stock_zt_pool_zbgc_em,3.69,0.27855151891708374,4.776119232177734
4,603225,新凤鸣,5.902777671813965,21.35,1261977680,35623450268.0,35814492117.600006,3.5107195377349854,,093414,,2,2/1,,化学纤维,炸板,akshare:stock_zt_pool_zbgc_em,22.18,0.09376464784145355,7.986111164093018
5,601233,桐昆股份,5.246636867523193,23.47,2429203312,55733557003.399994,55835164923.36,4.323207855224609,,093821,,1,2/1,,炼化及贸,炸板,akshare:stock_zt_pool_zbgc_em,24.53,0.2134927362203598,7.26457405090332
6,002545,东方铁塔,5.364372730255127,20.82,1105765072,23530008400.56,25901372505.6,4.597112655639648,,093845,,1,0/0,,农化制品,炸板,akshare:stock_zt_pool_zbgc_em,21.74,-0.04800768196582794,5.718623638153076
7,002348,高乐股份,9.035087585449219,12.43,655632960,11230915177.57,11773696000.0,5.8857316970825195,,093939,,3,0/0,,文娱用品,炸板,akshare:stock_zt_pool_zbgc_em,12.54,0.0805152952671051,8.245614051818848
8,600094,大名城,7.4358978271484375,4.19,178117222,8908903490.5,9741540701.12,2.008112907409668,,093959,,1,0/0,,房地产开,炸板,akshare:stock_zt_pool_zbgc_em,4.29,-0.2380952537059784,9.230769157409668
9,600828,茂业商业,2.756892204284668,4.1,296194768,7098576742.099999,7101128430.4,4.063699722290039,,094026,,1,0/0,,一般零售,炸板,akshare:stock_zt_pool_zbgc_em,4.39,0.0,10.776942253112793
10,600909,华安证券,8.29931926727295,7.96,3150425120,39992705852.88,39992706887.68,7.885223865509033,,094113,,15,0/0,,证券Ⅱ,炸板,akshare:stock_zt_pool_zbgc_em,8.09,0.0,9.65986442565918
11,603757,大元泵业,7.6545844078063965,50.49,766730464,9418771106.91,9418771106.91,8.12001895904541,,094122,,2,0/0,,通用设备,炸板,akshare:stock_zt_pool_zbgc_em,51.59,0.0,7.6332621574401855
12,002733,雄韬股份,9.267304420471191,37.73,2127012064,13917191897.07,14496428629.759998,15.40588665008545,,094327,,4,2/1,,电池,炸板,akshare:stock_zt_pool_zbgc_em,37.98,-0.31704095005989075,6.979437828063965
13,600280,中央商场,5.460750579833984,3.09,435180128,3486554494.92,3486554482.56,12.361498832702637,,094826,,2,0/0,,一般零售,炸板,akshare:stock_zt_pool_zbgc_em,3.22,-0.32258063554763794,10.921501159667969
14,000783,长江证券,7.027027130126953,7.92,1860149120,43798177748.159996,43798176829.44,4.2528977394104,,095048,,3,0/0,,证券Ⅱ,炸板,akshare:stock_zt_pool_zbgc_em,8.14,0.0,10.13513469696045
15,300399,天利科技,12.28743839263916,20.47,444476272,4044477440.75,4044872000.0,10.755457878112793,,095142,,1,0/0,,IT服务Ⅱ,炸板,akshare:stock_zt_pool_zbgc_em,21.88,0.0,19.912233352661133
16,600906,财达证券,4.864091396331787,7.33,2031760720,15570642183.5,23785850000.0,12.851426124572754,,095604,,3,2/1,,证券Ⅱ,炸板,akshare:stock_zt_pool_zbgc_em,7.69,0.0,7.725322246551514
17,920790,联迪信息,18.59550666809082,21.11,145916037,1147433163.3799999,1666993792.2,12.365386962890625,,095608,,1,0/0,,IT服务Ⅱ,炸板,akshare:stock_zt_pool_zbgc_em,23.14,0.04739336296916008,28.876405715942383
18,002522,浙江众成,8.321167945861816,7.42,872666144,6715247502.18,6720883088.64,13.100324630737305,,100842,,2,0/0,,塑料,炸板,akshare:stock_zt_pool_zbgc_em,7.54,0.13495276868343353,9.48905086517334
19,605277,新亚电子,7.156959056854248,21.71,476957840,6906706138.93,7033776353.76,6.896319389343262,,102015,,2,0/0,,消费电子,炸板,akshare:stock_zt_pool_zbgc_em,22.29,0.0,8.9832181930542
20,688168,安博通,17.316410064697266,64.7,499298656,6991417623.5,6991417623.5,7.349782466888428,,103153,,1,0/0,,软件开发,炸板,akshare:stock_zt_pool_zbgc_em,66.18,0.0,20.235719680786133
21,688020,方邦股份,18.642297744750977,227.2,1870413936,18719689600.0,18719689600.0,10.263079643249512,,103710,,3,0/0,,元件,炸板,akshare:stock_zt_pool_zbgc_em,229.8,0.0,15.509139060974121
22,603139,康惠股份,8.059210777282715,39.42,446761008,3937269600.0,3937269600.0,11.380574226379395,,104723,,3,0/0,,中药Ⅱ,炸板,akshare:stock_zt_pool_zbgc_em,40.13,0.0761614665389061,9.731359481811523
23,000727,冠捷科技,5.882352828979492,2.7,1098418528,12229830846.0,12229830835.2,8.902412414550781,,104833,,1,0/0,,光学光电,炸板,akshare:stock_zt_pool_zbgc_em,2.81,0.3717471957206726,9.803921699523926
24,603989,艾华集团,8.414463996887207,31.18,698195840,12433956034.8,12433955910.08,5.67763614654541,,110315,,1,0/0,,元件,炸板,akshare:stock_zt_pool_zbgc_em,31.64,0.16061677038669586,8.588316917419434
25,603032,德新科技,7.400639533996582,23.51,461592640,5449919868.400001,5483176174.0,8.535127639770508,,111226,,1,0/0,,电池,炸板,akshare:stock_zt_pool_zbgc_em,24.08,0.2558635175228119,10.415715217590332
26,002768,国恩股份,8.392908096313477,75.81,1328524464,13399275356.25,22837762500.0,10.035249710083008,,111848,,2,0/0,,塑料,炸板,akshare:stock_zt_pool_zbgc_em,76.93,0.013192611746490002,13.340004920959473
27,603586,金麒麟,4.777415752410889,19.3,501255424,3783818654.0,3783818654.0,12.848414421081543,,130037,,3,0/0,,汽车零部,炸板,akshare:stock_zt_pool_zbgc_em,20.26,0.05184033140540123,11.454940795898438
28,301458,钧崴电子,17.928869247436523,56.37,1582642480,6622459607.19,15032001879.0,24.572586059570312,,130118,,4,0/0,,元件,炸板,akshare:stock_zt_pool_zbgc_em,57.36,0.0,19.163179397583008
29,002810,山东赫达,9.067244529724121,25.14,442286672,8140849029.24,8784373749.12,5.534461498260498,,130430,,1,0/0,,化学制品,炸板,akshare:stock_zt_pool_zbgc_em,25.36,-0.15885624289512634,10.802602767944336
30,603703,盛洋科技,6.535362243652344,11.9,251793794,4938287228.0,4938287323.2,5.153735160827637,,130510,,2,0/0,,光学光电,炸板,akshare:stock_zt_pool_zbgc_em,12.29,0.25273799896240234,10.02685832977295
31,603260,合盛硅业,6.988007545471191,46.39,1835767936,54842579992.99,54842580132.16,3.4041404724121094,,130723,,4,0/0,,化学制品,炸板,akshare:stock_zt_pool_zbgc_em,47.7,0.0,13.607011795043945
32,300620,光库科技,19.997900009155273,343.05,8156536320,84768748643.40001,85481385962.25,10.246047019958496,,131418,,47,0/0,,通信设备,炸板,akshare:stock_zt_pool_zbgc_em,343.06,0.0,17.713726043701172
33,001288,运机集团,8.258010864257812,26.35,223657695,4002994742.15,6189122386.75,5.650518894195557,,131757,,1,0/0,,专用设备,炸板,akshare:stock_zt_pool_zbgc_em,26.77,0.0,9.942481994628906
34,603353,和顺石油,4.900696277618408,40.67,458932992,6930900060.0,6991417020.0,6.594447612762451,,132054,,1,0/0,,炼化及贸,炸板,akshare:stock_zt_pool_zbgc_em,42.65,0.17241379618644714,11.503739356994629
35,603435,嘉德利,9.341651916503906,66.6,585659712,2376790297.2,30580557897.6,25.352121353149414,,132221,,1,0/0,,电子化学,炸板,akshare:stock_zt_pool_zbgc_em,67.0,-0.015012761577963829,9.522245407104492
36,600641,先导基电,9.023876190185547,31.05,2815765840,28896059016.0,29400186816.0,10.008332252502441,,133652,,4,0/0,,半导体,炸板,akshare:stock_zt_pool_zbgc_em,31.33,0.0,11.306180000305176
37,600160,巨化股份,9.907997131347656,46.59,6233341696,125781169913.79001,125781169867.20001,5.113905429840088,,133706,,11,0/0,,化学制品,炸板,akshare:stock_zt_pool_zbgc_em,46.63,-0.06435006856918335,10.403396606445312
38,688432,有研硅,19.619047164916992,25.12,1828650464,31407582672.960003,31407582622.72,6.364168167114258,,134400,,1,0/0,,半导体,炸板,akshare:stock_zt_pool_zbgc_em,25.2,0.0,26.333332061767578
39,301526,国际复材,20.00703239440918,34.13,6147257600,47931930461.990005,128700067778.24,13.56053352355957,,134418,,4,0/0,,玻璃玻纤,炸板,akshare:stock_zt_pool_zbgc_em,34.13,0.0,16.45569610595703
40,002655,共达电声,8.07228946685791,35.88,1007427056,13052530452.0,13078403520.0,7.902516841888428,,135151,,1,0/0,,消费电子,炸板,akshare:stock_zt_pool_zbgc_em,36.52,0.0,10.602409362792969
41,300005,探路者,19.972640991210938,17.54,1919483392,15375278729.439999,15500136447.679998,13.139632225036621,,135336,,25,0/0,,服装家纺,炸板,akshare:stock_zt_pool_zbgc_em,17.54,0.0,19.83584213256836
42,002138,顺络电子,9.152420997619629,61.3,3776596416,46373434491.1,49427314977.6,8.268373489379883,,141351,,5,0/0,,元件,炸板,akshare:stock_zt_pool_zbgc_em,61.78,0.03263707458972931,8.15527057647705
43,688170,德龙激光,20.0,81.24,949051952,8396966399.999999,8396966399.999999,11.971874237060547,,143720,,9,0/0,,自动化设,炸板,akshare:stock_zt_pool_zbgc_em,81.24,0.0,19.39438819885254
