theme,total_score,stance,flow_score,map_score,core_score,timing_score,news_count,red_count,kpl_count,failed_count,lhb_net_buy,core_names,lhb_stocks,confirm_signal,give_up_signal
半导体/国产替代,78.5,积极观察,35.0,25.0,10.5,8.0,7,5,5,2,-152846888.82,士兰微、炬光科技、新洁能、先导基电、有研硅,炬光科技,半导体/国产替代前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,半导体/国产替代核心低开低走、冲高回落，或消息强但板块无量无扩散。
6G/通信/卫星互联网,73.0,重点进攻,13.0,25.0,25.0,10.0,3,2,7,1,2988438829.33,意华股份、太辰光、长芯博创、光迅科技、特发信息、剑桥科技、光库科技,光库科技、长芯博创、太辰光,6G/通信/卫星互联网前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,6G/通信/卫星互联网核心低开低走、冲高回落，或消息强但板块无量无扩散。
能源/煤炭/油气,63.1,积极观察,7.5,25.0,20.5,10.0,3,1,7,1,125114150.0,中远海能、招商南油、招商轮船、宁波远洋、南 京 港、凤凰航运、宁波海运,招商南油,能源/煤炭/油气前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,能源/煤炭/油气核心低开低走、冲高回落，或消息强但板块无量无扩散。
AI算力/数据中心,58.1,积极观察,32.3,18.8,0.0,7.0,7,4,0,0,0,中际旭创、新易盛、天孚通信、工业富联、浪潮信息、润泽科技、曙光数创,,AI算力/数据中心前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,AI算力/数据中心核心低开低走、冲高回落，或消息强但板块无量无扩散。
消费/旅游/短剧,47.2,跟踪等待,0.7,25.0,17.5,4.0,1,0,11,4,0,光大同创、游族网络、胜利精密、福蓉科技、利通电子、安洁科技、可川科技、茂业商业,,消费/旅游/短剧前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,消费/旅游/短剧核心低开低走、冲高回落，或消息强但板块无量无扩散。
机器人/具身智能,13.7,放弃,0.7,6.0,0.0,7.0,1,0,0,0,0,拓普集团、三花智控、鸣志电器、绿的谐波、中大力德、双环传动、柯力传感,,机器人/具身智能前排竞价/开盘强于板块，容量核心放量不破分时均线，后排出现扩散。,机器人/具身智能核心低开低走、冲高回落，或消息强但板块无量无扩散。
